Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.2575,107.662,108.242,98.9881,56.5099,33.9847
0.258,117.414,117.683,112.022,52.8594,31.4022
0.2585,135.913,137.016,142.419,53.2457,32.186
0.259,127.944,128.143,133.191,48.9942,30.1904
0.2595,101.546,99.3504,90.1068,52.4425,29.8838
0.26,107.177,105.917,82.5742,59.5992,30.1317
0.2605,125.742,125.77,89.6575,65.015,32.4363
0.261,137.826,139.037,133.889,52.7641,27.937
0.2615,65.3378,64.967,77.5861,49.2708,26.5116
0.262,61.9301,61.4517,90.5939,42.7253,20.3813
0.2625,95.0553,94.5451,139.009,55.7626,29.7388
0.263,87.8041,86.9176,123.312,46.7752,23.0973
0.2635,91.0297,90.15,123.493,50.449,26.2234
0.264,97.5314,96.6039,120.455,57.1205,32.7487
0.2645,93.3425,92.4253,112.164,52.6248,27.7172
0.265,80.0218,78.9278,94.2949,38.7941,18.6793
0.2655,90.5365,89.7786,103.964,46.7112,25.7249
0.266,99.0793,97.7013,108.505,46.4816,27.5634
0.2665,90.0231,88.4523,91.0212,43.6909,23.5106
0.267,86.968,85.63,89.7582,42.1911,21.8582
0.2675,90.0342,88.7002,94.7223,44.5631,24.3252
0.268,95.386,93.2466,98.7338,47.184,26.587
0.2685,93.5592,91.4376,97.5236,45.0347,24.6925
0.269,93.1034,90.2528,94.0545,43.2279,22.9054
0.2695,94.1811,91.6259,93.6951,42.2974,22.3352
0.27,99.2695,96.3357,96.6373,44.926,24.6265
0.2705,99.647,96.5873,95.4264,45.3381,24.5877
